"ID","RegioS","Code_1","Naam_2","SorteringNaam_3","Code_4","Naam_5","Code_6","Naam_7","Code_8","Naam_9","Code_10","Naam_11","Code_12","Naam_13","Code_14","Naam_15","Code_16","Naam_17","Code_18","Naam_19","Code_20","Naam_21","Code_22","Naam_23","Code_24","Naam_25","Code_26","Naam_27","Code_28","Naam_29","Code_30","Naam_31","Code_32","Naam_33","Code_34","Naam_35","Code_36","Naam_37","Code_38","Naam_39","Code_40","Naam_41","Code_42","Naam_43","Code_44","Omschrijving_45","Code_46","Omschrijving_47","Inwonertal_48","Omgevingsadressendichtheid_49"
236,"GM0302    ","GM0302    ","Nunspeet                                          ","Nunspeet                                          ","AM06      ","Stedendriehoek en Noordwest Veluwe                ","AR03      ","Gelderland                                        ","CR13      ","Veluwe                                            ","CS130     ","Veluwe                                            ","CP1300    ","Veluwe                                            ","GG1413    ","GGD Noord- en Oost-Gelderland                     ","JZ12      ","Noord-Veluwe                                      ","KK43      ","Oost                                              ","LB2507    ","Westelijke Veluwe                                 ","LG05      ","Centraal Veehouderijgebied                        ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL22      ","Gelderland                                        ","NL221     ","Veluwe                                            ","PV25      ","Gelderland                                        ","RE02      ","Oost-Nederland                                    ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR08      ","Veluwe en Veluwerand                              ","VR06      ","Noord- en Oost-Gelderland                         ","ZK32      ","Zwolle                                            ","4         ","20 000 tot 50 000 inwoners                        ","4         ","Weinig stedelijk         ",26892,749
237,"GM0951    ","GM0951    ","Nuth                                              ","Nuth                                              ","AM30      ","Zuid-Limburg                                      ","AR09      ","Limburg                                           ","CR39      ","Zuid-Limburg                                      ","CS390     ","Zuid-Limburg                                      ","CP3900    ","Zuid-Limburg                                      ","GG6106    ","GGD Zuid-Limburg                                  ","JZ41      ","Zuid-Limburg                                      ","KK44      ","Zuid                                              ","LB3102    ","Zuid-Limburg                                      ","LG14      ","Zuid-Limburg                                      ","LD04      ","Zuid-Nederland                                    ","NL4       ","Zuid-Nederland                                    ","NL42      ","Limburg (NL)                                      ","NL423     ","Zuid-Limburg                                      ","PV31      ","Limburg                                           ","RE10      ","Limburg                                           ","RT14      ","Gerechtshof 's-Hertogenbosch                      ","TR15      ","Zuid-Limburg                                      ","VR24      ","Limburg-Zuid                                      ","ZK31      ","Zuid-Limburg                                      ","3         ","10 000 tot 20 000 inwoners                        ","4         ","Weinig stedelijk         ",15305,523
238,"GM0579    ","GM0579    ","Oegstgeest                                        ","Oegstgeest                                        ","AM19      ","Holland Rijnland                                  ","AR07      ","Den Haag                                          ","CR25      ","Agglomeratie Leiden en Bollenstreek               ","CS250     ","Agglomeratie Leiden en Bollenstreek               ","CP2500    ","Agglomeratie Leiden en Bollenstreek               ","GG4506    ","GGD Hollands-Midden                               ","JZ18      ","Holland Rijnland                                  ","KK45      ","Zuidwest                                          ","LB2808    ","Bollenstreek                                      ","LG07      ","Westelijk Holland                                 ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL33      ","Zuid-Holland                                      ","NL337     ","Agglomeratie Leiden en Bollenstreek               ","PV28      ","Zuid-Holland                                      ","RE06      ","Den Haag                                          ","RT13      ","Gerechtshof Den Haag                              ","TR17      ","Overig Nederland                                  ","VR16      ","Hollands-Midden                                   ","ZK28      ","Zuid-Holland Noord                                ","4         ","20 000 tot 50 000 inwoners                        ","2         ","Sterk stedelijk          ",23608,1738
239,"GM0823    ","GM0823    ","Oirschot                                          ","Oirschot                                          ","AM28      ","Zuidoost-Brabant                                  ","AR10      ","Oost-Brabant                                      ","CR36      ","Zuidoost-Noord-Brabant                            ","CS360     ","Zuidoost-Noord-Brabant                            ","CP3600    ","Zuidoost-Noord-Brabant                            ","GG5608    ","GGD Brabant-Zuidoost                              ","JZ39      ","Zuidoost-Brabant                                  ","KK44      ","Zuid                                              ","LB3008    ","Midden-Noord-Brabant                              ","LG13      ","Zuidelijk Veehouderijgebied                       ","LD04      ","Zuid-Nederland                                    ","NL4       ","Zuid-Nederland                                    ","NL41      ","Noord-Brabant                                     ","NL414     ","Zuidoost-Noord-Brabant                            ","PV30      ","Noord-Brabant                                     ","RE09      ","Oost-Brabant                                      ","RT14      ","Gerechtshof 's-Hertogenbosch                      ","TR13      ","West- en Midden-Brabant                           ","VR22      ","Brabant-Zuidoost                                  ","ZK30      ","Zuidoost-Brabant                                  ","3         ","10 000 tot 20 000 inwoners                        ","4         ","Weinig stedelijk         ",18499,611
240,"GM0824    ","GM0824    ","Oisterwijk                                        ","Oisterwijk                                        ","AM26      ","Midden-Brabant                                    ","AR11      ","Zeeland-West-Brabant                              ","CR34      ","Midden-Noord-Brabant                              ","CS340     ","Midden-Noord-Brabant                              ","CP3400    ","Midden-Noord-Brabant                              ","GG5406    ","GGD Hart voor Brabant                             ","JZ35      ","Midden-Brabant                                    ","KK44      ","Zuid                                              ","LB3008    ","Midden-Noord-Brabant                              ","LG13      ","Zuidelijk Veehouderijgebied                       ","LD04      ","Zuid-Nederland                                    ","NL4       ","Zuid-Nederland                                    ","NL41      ","Noord-Brabant                                     ","NL412     ","Midden-Noord-Brabant                              ","PV30      ","Noord-Brabant                                     ","RE08      ","Zeeland - West-Brabant                            ","RT14      ","Gerechtshof 's-Hertogenbosch                      ","TR13      ","West- en Midden-Brabant                           ","VR20      ","Midden- en West-Brabant                           ","ZK12      ","Midden-Brabant                                    ","4         ","20 000 tot 50 000 inwoners                        ","3         ","Matig stedelijk          ",25936,1003
241,"GM1895    ","GM1895    ","Oldambt                                           ","Oldambt                                           ","AM01      ","Groningen                                         ","AR05      ","Noord-Nederland                                   ","CR01      ","Oost-Groningen                                    ","CS010     ","Oost-Groningen                                    ","CP0100    ","Oost-Groningen                                    ","GG0111    ","GGD Groningen                                     ","JZ01      ","Groningen                                         ","KK42      ","Noord                                             ","LB2003    ","Oostelijke Bouwstreek in Groningen                ","LG02      ","Veenkoloniën en Oldambt                           ","LD01      ","Noord-Nederland                                   ","NL1       ","Noord-Nederland                                   ","NL11      ","Groningen                                         ","NL111     ","Oost-Groningen                                    ","PV20      ","Groningen                                         ","RE01      ","Noord-Nederland                                   ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR17      ","Overig Nederland                                  ","VR01      ","Groningen                                         ","ZK09      ","Groningen                                         ","4         ","20 000 tot 50 000 inwoners                        ","4         ","Weinig stedelijk         ",38108,830
242,"GM0269    ","GM0269    ","Oldebroek                                         ","Oldebroek                                         ","AM36      ","Regio Zwolle                                      ","AR03      ","Gelderland                                        ","CR13      ","Veluwe                                            ","CS130     ","Veluwe                                            ","CP1300    ","Veluwe                                            ","GG1413    ","GGD Noord- en Oost-Gelderland                     ","JZ12      ","Noord-Veluwe                                      ","KK43      ","Oost                                              ","LB2501    ","Oostelijke Veluwe                                 ","LG05      ","Centraal Veehouderijgebied                        ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL22      ","Gelderland                                        ","NL221     ","Veluwe                                            ","PV25      ","Gelderland                                        ","RE02      ","Oost-Nederland                                    ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR08      ","Veluwe en Veluwerand                              ","VR06      ","Noord- en Oost-Gelderland                         ","ZK32      ","Zwolle                                            ","4         ","20 000 tot 50 000 inwoners                        ","4         ","Weinig stedelijk         ",23256,641
243,"GM0173    ","GM0173    ","Oldenzaal                                         ","Oldenzaal                                         ","AM05      ","Twente                                            ","AR06      ","Overijssel                                        ","CR12      ","Twente                                            ","CS120     ","Twente                                            ","CP1200    ","Twente                                            ","GG1106    ","GGD Regio Twente                                  ","JZ14      ","Twente                                            ","KK43      ","Oost                                              ","LB2303    ","Twente                                            ","LG04      ","Oostelijk Veehouderijgebied                       ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL21      ","Overijssel                                        ","NL213     ","Twente                                            ","PV23      ","Overijssel                                        ","RE02      ","Oost-Nederland                                    ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR11      ","Twente, Salland en Vechtstreek                    ","VR05      ","Twente                                            ","ZK22      ","Twente                                            ","4         ","20 000 tot 50 000 inwoners                        ","3         ","Matig stedelijk          ",32006,1449
244,"GM1773    ","GM1773    ","Olst-Wijhe                                        ","Olst+Wijhe                                        ","AM06      ","Stedendriehoek en Noordwest Veluwe                ","AR06      ","Overijssel                                        ","CR11      ","Zuidwest-Overijssel                               ","CS110     ","Zuidwest-Overijssel                               ","CP1100    ","Zuidwest-Overijssel                               ","GG1009    ","GGD IJsselland                                    ","JZ07      ","IJsselland                                        ","KK43      ","Oost                                              ","LB2304    ","Salland                                           ","LG04      ","Oostelijk Veehouderijgebied                       ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL21      ","Overijssel                                        ","NL212     ","Zuidwest-Overijssel                               ","PV23      ","Overijssel                                        ","RE02      ","Oost-Nederland                                    ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR11      ","Twente, Salland en Vechtstreek                    ","VR04      ","IJsselland                                        ","ZK14      ","Midden-IJssel                                     ","3         ","10 000 tot 20 000 inwoners                        ","5         ","Niet stedelijk           ",17957,455
245,"GM0175    ","GM0175    ","Ommen                                             ","Ommen                                             ","AM36      ","Regio Zwolle                                      ","AR06      ","Overijssel                                        ","CR10      ","Noord-Overijssel                                  ","CS100     ","Noord-Overijssel                                  ","CP1000    ","Noord-Overijssel                                  ","GG1009    ","GGD IJsselland                                    ","JZ07      ","IJsselland                                        ","KK43      ","Oost                                              ","LB2302    ","Noordoost-Overijssel                              ","LG04      ","Oostelijk Veehouderijgebied                       ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL21      ","Overijssel                                        ","NL211     ","Noord-Overijssel                                  ","PV23      ","Overijssel                                        ","RE02      ","Oost-Nederland                                    ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR11      ","Twente, Salland en Vechtstreek                    ","VR04      ","IJsselland                                        ","ZK32      ","Zwolle                                            ","3         ","10 000 tot 20 000 inwoners                        ","5         ","Niet stedelijk           ",17531,482
246,"GM0881    ","GM0881    ","Onderbanken                                       ","Onderbanken                                       ","AM30      ","Zuid-Limburg                                      ","AR09      ","Limburg                                           ","CR39      ","Zuid-Limburg                                      ","CS390     ","Zuid-Limburg                                      ","CP3900    ","Zuid-Limburg                                      ","GG6106    ","GGD Zuid-Limburg                                  ","JZ41      ","Zuid-Limburg                                      ","KK44      ","Zuid                                              ","LB3102    ","Zuid-Limburg                                      ","LG14      ","Zuid-Limburg                                      ","LD04      ","Zuid-Nederland                                    ","NL4       ","Zuid-Nederland                                    ","NL42      ","Limburg (NL)                                      ","NL423     ","Zuid-Limburg                                      ","PV31      ","Limburg                                           ","RE10      ","Limburg                                           ","RT14      ","Gerechtshof 's-Hertogenbosch                      ","TR15      ","Zuid-Limburg                                      ","VR24      ","Limburg-Zuid                                      ","ZK31      ","Zuid-Limburg                                      ","2         ","5 000 tot 10 000 inwoners                         ","5         ","Niet stedelijk           ",7865,475
247,"GM1586    ","GM1586    ","Oost Gelre                                        ","Oost Gelre                                        ","AM09      ","Achterhoek                                        ","AR03      ","Gelderland                                        ","CR14      ","Achterhoek                                        ","CS140     ","Achterhoek                                        ","CP1400    ","Achterhoek                                        ","GG1413    ","GGD Noord- en Oost-Gelderland                     ","JZ25      ","Achterhoek                                        ","KK43      ","Oost                                              ","LB2508    ","Achterhoek                                        ","LG04      ","Oostelijk Veehouderijgebied                       ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL22      ","Gelderland                                        ","NL225     ","Achterhoek                                        ","PV25      ","Gelderland                                        ","RE02      ","Oost-Nederland                                    ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR10      ","Achterhoek                                        ","VR06      ","Noord- en Oost-Gelderland                         ","ZK04      ","Arnhem                                            ","4         ","20 000 tot 50 000 inwoners                        ","4         ","Weinig stedelijk         ",29634,736
248,"GM0826    ","GM0826    ","Oosterhout                                        ","Oosterhout                                        ","AM25      ","West-Brabant                                      ","AR11      ","Zeeland-West-Brabant                              ","CR33      ","West-Noord-Brabant                                ","CS330     ","West-Noord-Brabant                                ","CP3300    ","West-Noord-Brabant                                ","GG5206    ","GGD West-Brabant                                  ","JZ34      ","West Brabant Oost                                 ","KK44      ","Zuid                                              ","LB3002    ","Westelijke Langstraat                             ","LG13      ","Zuidelijk Veehouderijgebied                       ","LD04      ","Zuid-Nederland                                    ","NL4       ","Zuid-Nederland                                    ","NL41      ","Noord-Brabant                                     ","NL411     ","West-Noord-Brabant                                ","PV30      ","Noord-Brabant                                     ","RE08      ","Zeeland - West-Brabant                            ","RT14      ","Gerechtshof 's-Hertogenbosch                      ","TR13      ","West- en Midden-Brabant                           ","VR20      ","Midden- en West-Brabant                           ","ZK25      ","West-Brabant                                      ","5         ","50 000 tot 100 000 inwoners                       ","2         ","Sterk stedelijk          ",54604,1536
249,"GM0085    ","GM0085    ","Ooststellingwerf                                  ","Ooststellingwerf                                  ","AM02      ","Friesland                                         ","AR05      ","Noord-Nederland                                   ","CR06      ","Zuidoost-Friesland                                ","CS060     ","Zuidoost-Friesland                                ","CP0600    ","Zuidoost-Friesland                                ","GG7206    ","GGD Fryslân                                       ","JZ02      ","Friesland (Fryslân)                               ","KK42      ","Noord                                             ","LB2103    ","De Wouden                                         ","LG03      ","Noordelijk Weidegebied                            ","LD01      ","Noord-Nederland                                   ","NL1       ","Noord-Nederland                                   ","NL12      ","Friesland (NL)                                    ","NL123     ","Zuidoost-Friesland                                ","PV21      ","Friesland                                         ","RE01      ","Noord-Nederland                                   ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR12      ","Groningse, Friese en Drentse Zandgronden          ","VR02      ","Fryslân                                           ","ZK08      ","Friesland                                         ","4         ","20 000 tot 50 000 inwoners                        ","5         ","Niet stedelijk           ",25540,479
250,"GM0431    ","GM0431    ","Oostzaan                                          ","Oostzaan                                          ","AM17      ","Zaanstreek/Waterland                              ","AR02      ","Noord-Holland                                     ","CR23      ","Groot-Amsterdam                                   ","CS232     ","Overig Groot-Amsterdam                            ","CP2321    ","Overig Agglomeratie Amsterdam                     ","GG7306    ","GGD Zaanstreek/Waterland                          ","JZ09      ","Zaanstreek-Waterland                              ","KK41      ","Noordwest                                         ","LB2706    ","Waterland en N.-Hollandse Droogmakerijen          ","LG08      ","Waterland en Droogmakerijen                       ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL32      ","Noord-Holland                                     ","NL326     ","Groot-Amsterdam                                   ","PV27      ","Noord-Holland                                     ","RE04      ","Noord-Holland                                     ","RT11      ","Gerechtshof Amsterdam                             ","TR06      ","Hollands-Utrechtse meren                          ","VR11      ","Zaanstreek-Waterland                              ","ZK26      ","Zaanstreek/Waterland                              ","2         ","5 000 tot 10 000 inwoners                         ","3         ","Matig stedelijk          ",9652,1063
251,"GM0432    ","GM0432    ","Opmeer                                            ","Opmeer                                            ","AM15      ","Noord-Holland Noord                               ","AR02      ","Noord-Holland                                     ","CR18      ","Kop van Noord-Holland                             ","CS180     ","Kop van Noord-Holland                             ","CP1800    ","Kop van Noord-Holland                             ","GG2707    ","GGD Hollands-Noorden                              ","JZ05      ","West Friesland                                    ","KK41      ","Noordwest                                         ","LB2705    ","West-Friesland en omgeving                        ","LG07      ","Westelijk Holland                                 ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL32      ","Noord-Holland                                     ","NL321     ","Kop van Noord-Holland                             ","PV27      ","Noord-Holland                                     ","RE04      ","Noord-Holland                                     ","RT11      ","Gerechtshof Amsterdam                             ","TR17      ","Overig Nederland                                  ","VR10      ","Noord-Holland-Noord                               ","ZK18      ","Noord-Holland Noord                               ","3         ","10 000 tot 20 000 inwoners                        ","4         ","Weinig stedelijk         ",11420,503
