"ID","DimensionKey","Title","Description","ParentID"
0,"Woonplaatsen","Woonplaatsen op alfabet",,
1,"Woonplaatsen","A",,0
2,"Woonplaatsen","B",,0
3,"Woonplaatsen","C",,0
4,"Woonplaatsen","D",,0
5,"Woonplaatsen","E",,0
6,"Woonplaatsen","F",,0
7,"Woonplaatsen","G",,0
8,"Woonplaatsen","H",,0
9,"Woonplaatsen","I",,0
10,"Woonplaatsen","J",,0
11,"Woonplaatsen","K",,0
12,"Woonplaatsen","L",,0
13,"Woonplaatsen","M",,0
14,"Woonplaatsen","N",,0
15,"Woonplaatsen","O",,0
16,"Woonplaatsen","P",,0
17,"Woonplaatsen","R",,0
18,"Woonplaatsen","S",,0
19,"Woonplaatsen","T",,0
20,"Woonplaatsen","U",,0
21,"Woonplaatsen","V",,0
22,"Woonplaatsen","W",,0
23,"Woonplaatsen","Y",,0
24,"Woonplaatsen","Z",,0
25,"Woonplaatsen","Woonplaatsen per landsdeel",,
26,"Woonplaatsen","Noord-Nederland",,25
27,"Woonplaatsen","Oost-Nederland",,25
28,"Woonplaatsen","West-Nederland",,25
29,"Woonplaatsen","Zuid-Nederland",,25
30,"Woonplaatsen","Woonplaatsen per provincie",,
31,"Woonplaatsen","Drenthe",,30
32,"Woonplaatsen","Flevoland",,30
33,"Woonplaatsen","Friesland",,30
34,"Woonplaatsen","Gelderland",,30
35,"Woonplaatsen","Groningen",,30
36,"Woonplaatsen","Limburg",,30
37,"Woonplaatsen","Noord-Brabant",,30
38,"Woonplaatsen","Noord-Holland",,30
39,"Woonplaatsen","Overijssel",,30
40,"Woonplaatsen","Utrecht",,30
41,"Woonplaatsen","Zeeland",,30
42,"Woonplaatsen","Zuid-Holland",,30
43,"Woonplaatsen","Woonplaatsen per gemeente",,
44,"Woonplaatsen","Aa en Hunze",,43
45,"Woonplaatsen","Aalburg",,43
46,"Woonplaatsen","Aalsmeer",,43
47,"Woonplaatsen","Aalten",,43
48,"Woonplaatsen","Achtkarspelen",,43
49,"Woonplaatsen","Alblasserdam",,43
50,"Woonplaatsen","Albrandswaard",,43
51,"Woonplaatsen","Alkmaar",,43
52,"Woonplaatsen","Almelo",,43
53,"Woonplaatsen","Almere",,43
54,"Woonplaatsen","Alphen aan den Rijn",,43
55,"Woonplaatsen","Alphen-Chaam",,43
56,"Woonplaatsen","Ameland",,43
57,"Woonplaatsen","Amersfoort",,43
58,"Woonplaatsen","Amstelveen",,43
59,"Woonplaatsen","Amsterdam",,43
60,"Woonplaatsen","Apeldoorn",,43
61,"Woonplaatsen","Appingedam",,43
62,"Woonplaatsen","Arnhem",,43
63,"Woonplaatsen","Assen",,43
64,"Woonplaatsen","Asten",,43
65,"Woonplaatsen","Baarle-Nassau",,43
66,"Woonplaatsen","Baarn",,43
67,"Woonplaatsen","Barendrecht",,43
68,"Woonplaatsen","Barneveld",,43
69,"Woonplaatsen","Bedum",,43
70,"Woonplaatsen","Beek",,43
71,"Woonplaatsen","Beemster",,43
72,"Woonplaatsen","Beesel",,43
73,"Woonplaatsen","Bellingwedde",,43
74,"Woonplaatsen","Berg en Dal",,43
75,"Woonplaatsen","Bergeijk",,43
76,"Woonplaatsen","Bergen (L.)",,43
77,"Woonplaatsen","Bergen (NH.)",,43
78,"Woonplaatsen","Bergen op Zoom",,43
79,"Woonplaatsen","Berkelland",,43
80,"Woonplaatsen","Bernheze",,43
81,"Woonplaatsen","Best",,43
82,"Woonplaatsen","Beuningen",,43
83,"Woonplaatsen","Beverwijk",,43
84,"Woonplaatsen","het Bildt",,43
85,"Woonplaatsen","De Bilt",,43
86,"Woonplaatsen","Binnenmaas",,43
87,"Woonplaatsen","Bladel",,43
88,"Woonplaatsen","Blaricum",,43
89,"Woonplaatsen","Bloemendaal",,43
90,"Woonplaatsen","Bodegraven-Reeuwijk",,43
91,"Woonplaatsen","Boekel",,43
92,"Woonplaatsen","Ten Boer",,43
93,"Woonplaatsen","Borger-Odoorn",,43
94,"Woonplaatsen","Borne",,43
95,"Woonplaatsen","Borsele",,43
96,"Woonplaatsen","Boxmeer",,43
97,"Woonplaatsen","Boxtel",,43
98,"Woonplaatsen","Breda",,43
99,"Woonplaatsen","Brielle",,43
100,"Woonplaatsen","Bronckhorst",,43
